code_a,code_b,n_both,n_a,n_b,support,lift,conf_a_to_b,conf_b_to_a,leverage,jaccard,odds_ratio,se_log_or,or_ci_low,or_ci_high,z_stat,z_crit,desc_a,ccsr_a,ccsr_desc_a,chapter_a,desc_b,ccsr_b,ccsr_desc_b,chapter_b,same_ccsr,same_icd3,same_chapter,definitional,context_code,wrapper_code,adverse_effect_pair,same_concept_text,structural,obstetric
F17210,Z7982,108193,789519,878735,0.01527328886100055,1.1047022796265715,0.13703660076578272,0.12312358105686015,0.001447582928571894,0.06935177534724604,1.1383685101782743,0.0034913103668385375,1.1177852915234268,1.1593307541194682,37.11961765648312,5.226346176164583,"Nicotine dependence, cigarettes, uncomplicated",XXX000,Unacceptable PDX,Mental/behavioural,Long term (current) use of aspirin,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
J440,J441,107763,178444,287758,0.015212587020676035,14.866437678188124,0.6039037457129408,0.3744917604375899,0.014189303073978046,0.3006452980841928,56.96659207552741,0.00539740110668113,55.38209272194633,58.596424461467954,748.9650874874662,5.226346176164583,Chr obstructive pulmon disease with (acute) lower resp infct,RSP008,Chronic obstructive pulmonary disease and bronchiectasis,Respiratory,Chronic obstructive pulmonary disease w (acute) exacerbation,RSP008,Chronic obstructive pulmonary disease and bronchiectasis,Respiratory,True,True,True,False,False,False,False,False,True,False
K219,Z66,107607,1192577,467310,0.015190564957674584,1.3677780107121,0.09023065177342847,0.23026898632599346,0.004084548602165266,0.0693219006880202,1.5251932230559015,0.0036298162519543776,1.4965319971240383,1.5544033619902906,116.2926926257164,5.226346176164583,Gastro-esophageal reflux disease without esophagitis,DIG004,Esophageal disorders,Digestive,Do not resuscitate,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
I10,I480,107469,1922540,375871,0.01517108390194253,1.0535025752908855,0.0558994871368086,0.2859199033711034,0.0007704699331028218,0.04905150387367625,1.079364261345026,0.003712955034189934,1.0586209098068853,1.100514072484568,20.569120877982623,5.226346176164583,Essential (primary) hypertension,CIR007,Essential hypertension,Circulatory,Paroxysmal atrial fibrillation,CIR017,Cardiac dysrhythmias,Circulatory,False,False,True,False,False,False,False,False,False,False
Z7984,Z87891,107464,381206,1189002,0.01517037806658992,1.679528147300286,0.28190532153218995,0.09038168144376545,0.00613785420506658,0.07346740099429565,2.0403240383421064,0.003749797031180704,2.0007275715706725,2.0807041601213787,190.17259644638506,5.226346176164583,Long term (current) use of oral hypoglycemic drugs,XXX000,Unacceptable PDX,Factors/status,Personal history of nicotine dependence,XXX000,Unacceptable PDX,Factors/status,True,False,True,False,False,False,False,False,True,False
I110,Z79899,106965,497458,1032658,0.015099935698399377,1.4750113418686417,0.21502317783611882,0.10358221211669304,0.004862769874799822,0.07516068217638185,1.6750560760711006,0.003628580990349542,1.643589258381174,1.7071253317548762,142.16208604409772,5.226346176164583,Hypertensive heart disease with heart failure,CIR019,Heart failure,Circulatory,Other long term (current) drug therapy,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
J449,Z79899,106878,530930,1032658,0.015087654163263952,1.3808965238093767,0.20130337332605053,0.10349796350776345,0.004161669556073571,0.07336944209897646,1.5319584238316315,0.003601735489318034,1.503390688263388,1.5610690093203037,118.42816712223525,5.226346176164583,"Chronic obstructive pulmonary disease, unspecified",RSP008,Chronic obstructive pulmonary disease and bronchiectasis,Respiratory,Other long term (current) drug therapy,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
E785,J189,106781,1768237,312229,0.015073960957423306,1.3700829738392015,0.06038839816155866,0.34199577873932274,0.0040717360956811395,0.05410235169239266,1.5985830675977346,0.0038768401544598103,1.5665189767073477,1.6313034581818462,121.00515766547477,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,"Pneumonia, unspecified organism",RSP002,Pneumonia (except that caused by tuberculosis),Respiratory,False,False,False,False,False,False,False,False,False,False
E785,Z880,106737,1768237,326527,0.015067749606320333,1.3095497973466894,0.06036351461936381,0.3268856786728203,0.003561696429228888,0.05368991467419708,1.4894234092784264,0.003836231510323688,1.4598586231026514,1.5195869360224914,103.84906915888732,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,Allergy status to penicillin,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
I2510,I255,106560,1067226,139434,0.015042763034837916,5.072659669939528,0.09984764239252042,0.7642325401265114,0.012077304278757549,0.0968639214616853,20.189922770612622,0.00640399238270298,19.52535985608587,20.877104672477863,469.2672051427991,5.226346176164583,Athscl heart disease of native coronary artery w/o ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Circulatory,Ischemic cardiomyopathy,CIR011,Coronary atherosclerosis and other heart disease,Circulatory,True,True,True,False,False,False,False,False,True,False
O34211,Z370,106429,111389,696749,0.015024270148599517,9.714219669681023,0.9554713661133505,0.15275084714868625,0.013477643588826358,0.15167113433061283,231.95944947376086,0.014589008051776958,214.93063822992383,250.33744208497478,373.3333034232507,5.226346176164583,Matern care for low transverse scar from prev cesarean del,PRG016,Previous C-section,Pregnancy/childbirth,Single live birth,XXX000,Unacceptable PDX,Factors/status,False,False,False,True,True,False,False,False,True,True
