code_a,desc_a,code_b,desc_b,n_both,n_a,n_b,support,lift,odds_ratio,or_ci_low,or_ci_high,or_adjusted,confounding_ratio,conf_a_to_b,conf_b_to_a,jaccard,leverage,chapter_a,chapter_b,ccsr_desc_a,ccsr_desc_b,same_chapter,obstetric,hospitals_contributing,pct_of_all_hospitals,top10_share_of_pairs,top10_share_of_discharges,concentration,hospital_dispersed
I314,Cardiac tamponade,J90,"Pleural effusion, not elsewhere classified",996,4711,126343,0.00014060240224,11.853910580687977,14.87864143279852,12.340500248697532,17.938816613949953,11.420085259970724,1.302848542204024,0.2114200806622797,0.0078833018054027,0.0076581217610604,0.0001287411349153,Circulatory,Respiratory,Unacceptable PDX,"Pleurisy, pleural effusion and pulmonary collapse",False,False,622,13.61646234676007,0.060240963855421686,0.014188984592320087,4.245614861547431,True
D61818,Other pancytopenia,D65,Disseminated intravascular coagulation,1062,70286,8732,0.0001499194288944,12.257687894479004,14.018651532085553,11.800552197338526,16.653677513698717,11.418626345811012,1.227700347444014,0.0151096946760379,0.1216216216216216,0.0136230694237775,0.000137688783916,Blood/immune,Blood/immune,Aplastic anemia,Coagulation and hemorrhagic disorders,True,False,653,14.295096322241681,0.07532956685499058,0.010191274322203956,7.391574838768531,True
S065X0A,"Traum subdr hem w/o loss of consciousness, init",W1830XA,"Fall on same level, unspecified, initial encounter",1732,12397,56189,0.0002445013661443,17.61353720525898,20.93065396757766,18.24667740292279,24.009427351431107,11.4164374789716,1.833378758139803,0.139711220456562,0.0308245386107601,0.0259072007658479,0.0002306199201125,Injury,External cause,"Traumatic brain injury (TBI); concussion, initial encounter",Unacceptable PDX,False,False,741,16.221541155866902,0.07448036951501155,0.012281676302495622,6.064348846246438,True
F1020,"Alcohol dependence, uncomplicated",Z7141,Alcohol abuse counseling and surveillance of alcoholic,900,71640,4510,0.0001270503634699,19.73226721189094,24.710228392184728,20.318739810789346,30.05084925934743,11.41636988034042,2.1644558341384,0.0125628140703517,0.1995565410199556,0.0119601328903654,0.0001206116525957,Mental/behavioural,Factors/status,Alcohol-related disorders,Unacceptable PDX,False,False,410,8.975481611208407,0.21777777777777776,0.00416089940363971,52.33911148807841,False
G931,"Anoxic brain damage, not elsewhere classified",J9600,"Acute respiratory failure, unsp w hypoxia or hypercapnia",2298,24580,54625,0.0003244019280598,12.123926460648738,13.812631733413223,12.290328551653843,15.523490246908054,11.412788608734006,1.210276664797126,0.0934906427990236,0.0420686498855835,0.0298802449711989,0.0002976447608077,Nervous,Respiratory,Coma; stupor; and brain damage,Respiratory failure; insufficiency; arrest,False,False,1092,23.90542907180385,0.05004351610095736,0.010234330278713205,4.889769505000721,True
E861,Hypovolemia,I9589,Other hypotension,3249,81155,23207,0.0004586518121263,12.220304416073644,14.592774329254432,13.195607561385444,16.137874791586256,11.408057342372226,1.2791638305545163,0.0400345018791202,0.1400008618089369,0.0321323667579836,0.0004211198655798,Endocrine/metabolic,Circulatory,Fluid and electrolyte disorders,Hypotension,False,False,1233,26.992119089316986,0.07417666974453678,0.009674744011163493,7.667042110772731,True
K319,"Disease of stomach and duodenum, unspecified",K921,Melena,570,6624,45960,8.046523019761272e-05,13.262979839904895,14.597496622679415,11.595791420238998,18.376228057812465,11.40529491287388,1.2798876955125722,0.0860507246376811,0.0124020887728459,0.010958588072442,7.439832583909793e-05,Digestive,Digestive,Other specified and unspecified disorders of stomach and duodenum,Gastrointestinal hemorrhage,True,False,419,9.172504378283712,0.0824561403508772,0.010015944820615474,8.232487481476593,True
K222,Esophageal obstruction,K259,"Gastric ulcer, unsp as acute or chronic, w/o hemor or perf",696,20439,17003,9.82522810834008e-05,14.187002286806882,15.244652455415084,12.411323114936168,18.724790768416668,11.402932470465291,1.3369063172916458,0.0340525466020842,0.0409339528318532,0.0189408370979154,9.132676721534636e-05,Digestive,Digestive,Esophageal disorders,Gastroduodenal ulcer,True,False,537,11.75569176882662,0.05172413793103448,0.00812458840976001,6.366370248232963,True
M797,Fibromyalgia,R5382,"Chronic fatigue, unspecified",847,93314,4499,0.0001195685087322,14.291809162565093,17.532390419209946,14.354042000466508,21.41450567036203,11.39917804417641,1.538039878951348,0.0090768802109008,0.1882640586797066,0.0087350205226574,0.0001112022824992,Musculoskeletal,Symptoms/signs,Other specified connective tissue disease,Malaise and fatigue,False,False,616,13.485113835376533,0.06493506493506493,0.010432246511585228,6.22445653129009,True
R402142,"Coma scale, eyes open, spontaneous, EMR",R4781,Slurred speech,1965,36211,28594,0.0002773932935759,13.443542393892354,15.131803114984224,13.348475586157832,17.1533793527769,11.397241546762372,1.3276724067748422,0.0542652785065311,0.0687207106385955,0.0312698917886696,0.000256759350122,Symptoms/signs,Symptoms/signs,Unacceptable PDX,Nervous system signs and symptoms,True,False,652,14.273204903677758,0.10381679389312977,0.010329053383033554,10.05094949588107,True
E11621,Type 2 diabetes mellitus with foot ulcer,I70201,"Unsp athscl native arteries of extremities, right leg",672,67547,4762,9.486427139086974e-05,14.799274115336384,17.23856826795893,13.856173391746944,21.44663086462824,11.39426057936778,1.5129168012160226,0.0099486283624735,0.1411171776564468,0.0093806273294526,8.845420893432246e-05,Endocrine/metabolic,Circulatory,Diabetes mellitus with complication,Peripheral and visceral vascular disease,False,False,500,10.945709281961472,0.06994047619047619,0.008462824710731027,8.264436353241525,True
D6481,Anemia due to antineoplastic chemotherapy,J910,Malignant pleural effusion,764,20688,18665,0.0001078516418789,14.01565679857478,15.10062694938062,12.40615213980801,18.380310969480757,11.391691919434995,1.325582455720904,0.0369296210363495,0.0409322260916153,0.0197983881416984,0.0001001565589135,Blood/immune,Respiratory,Conditions due to neoplasm or the treatment of neoplasm,Unacceptable PDX,False,False,541,11.843257443082312,0.08638743455497382,0.009419655114730007,9.170976378942502,True
