_key,code_a,desc_a,code_b,desc_b,n_both,lift,odds_ratio,or_adjusted,confounding_ratio,chapter_a,chapter_b,ccsr_desc_a,ccsr_desc_b,code_pairs_in_group,max_lift_in_group
Abdominal pain and other digestive/abdomen signs and symptoms | Noninfectious hepatitis,K7581,Nonalcoholic steatohepatitis (NASH),R188,Other ascites,7243,27.07669955068912,41.58477322273375,30.731370977333288,1.3531701287718556,Digestive,Symptoms/signs,Noninfectious hepatitis,Abdominal pain and other digestive/abdomen signs and symptoms,3,27.07669955068912
Nervous system signs and symptoms | Postprocedural or postoperative digestive system complication,K9423,Gastrostomy malfunction,R532,Functional quadriplegia,566,33.412080564988926,37.27401955105555,30.53944406465344,1.2205205658670373,Digestive,Symptoms/signs,Postprocedural or postoperative digestive system complication,Nervous system signs and symptoms,1,33.412080564988926
Conditions due to neoplasm or the treatment of neoplasm | Non-Hodgkin lymphoma,C8330,"Diffuse large B-cell lymphoma, unspecified site",D61810,Antineoplastic chemotherapy induced pancytopenia,875,33.468562656642355,40.1365529106799,30.498508246468948,1.316016920772734,Neoplasm,Blood/immune,Non-Hodgkin lymphoma,Conditions due to neoplasm or the treatment of neoplasm,2,38.3309002884482
Multiple sclerosis | Other specified and unspecified diseases of bladder and urethra,G35,Multiple sclerosis,N319,"Neuromuscular dysfunction of bladder, unspecified",4691,24.27800202756693,31.64198251842564,30.47470992876316,1.0383029926253955,Nervous,Genitourinary,Multiple sclerosis,Other specified and unspecified diseases of bladder and urethra,1,24.27800202756693
Cerebral palsy | Nervous system signs and symptoms,G809,"Cerebral palsy, unspecified",R532,Functional quadriplegia,575,19.820078555518183,21.44451727999725,30.346794849592207,0.7066485072404743,Nervous,Symptoms/signs,Cerebral palsy,Nervous system signs and symptoms,1,19.820078555518183
Unacceptable PDX | Urinary system cancers - bladder,C679,"Malignant neoplasm of bladder, unspecified",Z936,Other artificial openings of urinary tract status,855,41.964762817476895,48.58584886986821,30.2584320880332,1.6056961817622817,Neoplasm,Factors/status,Urinary system cancers - bladder,Unacceptable PDX,2,41.964762817476895
Gastrointestinal cancers - liver | Hepatic failure,C220,Liver cell carcinoma,K7290,"Hepatic failure, unspecified without coma",2046,37.64314658183925,49.3966257258681,30.14372320879393,1.6387035331938509,Neoplasm,Digestive,Gastrointestinal cancers - liver,Hepatic failure,2,37.64314658183925
Bipolar and related disorders | Suicidal ideation/attempt/intentional self-harm,F314,"Bipolar disord, crnt epsd depress, sev, w/o psych features",R45851,Suicidal ideations,3427,24.781211534684843,56.42860707914943,30.1102151989658,1.874068541399452,Mental/behavioural,Symptoms/signs,Bipolar and related disorders,Suicidal ideation/attempt/intentional self-harm,4,24.781211534684843
Abnormal findings without diagnosis | Endocarditis and endocardial disease,I330,Acute and subacute infective endocarditis,R7881,Bacteremia,2362,26.851336134517,34.19599825791631,30.05955955252729,1.1376080942956213,Circulatory,Symptoms/signs,Endocarditis and endocardial disease,Abnormal findings without diagnosis,1,26.851336134517
Postprocedural or postoperative respiratory system complication | Respiratory cancers,C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",J95811,Postprocedural pneumothorax,660,40.348372179741645,45.75484609612982,29.82251882943935,1.5342381492928372,Neoplasm,Respiratory,Respiratory cancers,Postprocedural or postoperative respiratory system complication,1,40.348372179741645
"Complication of genitourinary device, implant or graft, initial encounter | Paralysis (other than cerebral palsy)",G8220,"Paraplegia, unspecified",T83511A,"I/I react d/t indwelling urethral catheter, init",2198,26.65823440231372,32.0579728491938,29.676887745173712,1.080233652681701,Nervous,Injury/poisoning,Paralysis (other than cerebral palsy),"Complication of genitourinary device, implant or graft, initial encounter",4,36.05287562207118
Paralysis (other than cerebral palsy) | Unacceptable PDX,G8220,"Paraplegia, unspecified",Z993,Dependence on wheelchair,3373,25.189082665125405,31.82509656719999,29.524695248133625,1.0779144814106687,Nervous,Factors/status,Paralysis (other than cerebral palsy),Unacceptable PDX,46,49.19447929355624
Gastrointestinal cancers - liver | Other specified diseases of veins and lymphatics,C220,Liver cell carcinoma,I8510,Secondary esophageal varices without bleeding,1013,42.11822911629984,49.60179000139597,29.37309702934378,1.688680970612111,Neoplasm,Circulatory,Gastrointestinal cancers - liver,Other specified diseases of veins and lymphatics,2,42.11822911629984
